Rank Name Score Finish Time Q1 (2) Q2 (6) Q3 (6) Q4 (10)
66|lijinglun|14|0:29:13|0:02:27|0|0:10:09|0|0:24:13|1|-1|-1|
67|txingml|14|0:29:29|0:02:11|0|0:17:17|0|0:29:29|0|-1|-1|
68|Hexadecimal|14|0:34:55|0:01:50|0|0:29:55|0|0:20:25|1|-1|-1|
69|loghead|14|0:36:01|0:05:09|0|0:12:27|1|0:31:01|0|-1|-1|
70|ADJA|14|0:40:53|0:01:56|0|0:10:25|0|0:40:53|0|-1|-1|
71|robinz62|14|0:42:15|0:02:38|0|0:16:27|2|0:32:15|0|-1|-1|
72|superluminal|14|0:43:49|0:02:26|0|0:10:46|0|0:43:49|0|-1|-1|
73|mcginn|14|0:44:20|0:02:25|0|0:08:58|0|0:44:20|0|-1|-1|
74|xh286286|14|0:44:40|0:03:10|0|0:14:47|2|0:34:40|0|-1|-1|
75|payall4u|14|0:45:01|0:02:30|0|0:11:55|1|0:35:01|1|-1|-1|
76|hejian2356|14|0:48:08|0:03:14|0|0:15:23|0|0:43:08|1|-1|-1|
77|rogerz343|14|0:53:39|0:02:01|0|0:22:59|3|0:38:39|0|-1|-1|
78|ghostplant|14|0:54:44|0:01:37|0|0:27:56|2|0:44:44|0|-1|-1|
79|yaketake08|14|0:56:53|0:01:30|0|0:18:29|2|0:46:53|0|-1|-1|
80|blezalex|14|0:58:06|0:04:33|0|0:16:21|0|0:53:06|1|-1|-1|
81|kuzyakov|14|0:58:37|0:02:50|0|0:17:44|0|0:58:37|0|-1|-1|
82|matchalatte|14|0:58:43|0:03:23|0|0:30:14|2|0:43:43|1|-1|-1|
83|mavericks|14|0:58:52|0:02:23|0|0:10:32|0|0:58:52|0|-1|-1|
84|mu5|14|0:59:25|0:02:47|0|0:14:26|0|0:49:25|2|-1|-1|
85|climberig|14|0:59:35|0:03:53|0|0:59:35|0|0:43:19|0|-1|-1|
86|chenlei940624|14|1:00:47|0:02:55|0|0:17:30|0|1:00:47|0|-1|-1|
87|megaspazz|14|1:01:17|0:03:36|0|0:13:37|2|0:51:17|0|-1|-1|
88|mzchen|14|1:01:44|0:02:47|0|0:17:00|0|1:01:44|0|-1|-1|
89|Koihik|14|1:02:10|0:03:55|0|0:16:53|0|0:47:10|3|-1|-1|
90|joydeep57|14|1:02:28|0:07:04|1|0:23:51|2|0:47:28|0|-1|-1|
91|BaozhiYu|14|1:03:22|0:01:40|0|0:48:22|3|0:26:55|0|-1|-1|
92|kan-ki|14|1:03:45|0:02:11|0|0:24:12|1|0:53:45|1|-1|-1|
93|booker1024|14|1:03:54|0:04:10|0|0:48:54|3|0:25:23|0|-1|-1|
94|iamshu|14|1:05:01|0:03:27|0|0:17:21|1|0:55:01|1|-1|-1|
95|corwinliu|14|1:05:02|0:05:08|1|1:00:02|0|0:48:32|0|-1|-1|
96|xuan18|14|1:06:33|0:15:15|0|0:17:16|0|1:01:33|1|-1|-1|
97|ZYCSwing|14|1:07:01|0:01:42|0|0:15:36|1|0:57:01|1|-1|-1|
98|bill770911|14|1:08:12|0:02:15|0|0:30:00|1|1:03:12|0|-1|-1|
99|xn1990114|14|1:08:44|0:04:37|0|0:16:58|1|0:53:44|2|-1|-1|
100|xmeng525|14|1:09:54|0:04:05|0|0:27:20|0|1:09:54|0|-1|-1|
101|guzh870423|14|1:10:29|0:06:04|0|0:35:40|0|1:05:29|1|-1|-1|
102|cbmbbz|14|1:10:34|0:05:27|0|0:21:50|0|1:05:34|1|-1|-1|
103|code_report|14|1:10:34|0:04:03|1|0:11:55|0|0:55:34|2|-1|-1|
104|hz28|14|1:10:52|0:13:31|0|0:30:25|0|1:05:52|1|-1|-1|
105|yys_q|14|1:11:44|0:02:27|0|1:01:44|1|0:45:15|1|-1|-1|
106|CrossLuna|14|1:13:47|0:03:02|0|0:58:47|2|0:31:23|1|-1|-1|
107|democoffee|14|1:13:54|0:03:58|0|0:15:44|0|1:08:54|1|-1|-1|
108|Celerity|14|1:14:03|0:02:58|0|0:29:48|2|1:04:03|0|-1|-1|
109|zornlemma|14|1:14:12|0:03:59|0|0:26:28|0|1:14:12|0|-1|-1|
110|pbdpbd123|14|1:15:04|0:08:30|0|0:29:12|1|1:05:04|1|-1|-1|
111|lilingjie|14|1:15:42|0:11:04|1|0:23:02|0|1:10:42|0|-1|-1|
112|zz2521|14|1:16:10|0:02:13|1|0:51:10|1|0:34:34|3|-1|-1|
113|quadpixels|14|1:16:31|0:08:28|0|0:56:45|2|1:06:31|0|-1|-1|
114|josefchung2|14|1:17:17|0:02:22|0|0:47:00|2|1:07:17|0|-1|-1|
115|patrickm|14|1:17:33|0:02:27|0|0:10:38|1|1:07:33|1|-1|-1|
116|artemrus|14|1:17:34|0:02:30|0|0:31:51|2|1:07:34|0|-1|-1|
117|breakin1dipper|14|1:18:02|0:15:27|0|0:50:14|0|1:18:02|0|-1|-1|
118|YangZhenjian|14|1:18:12|0:02:33|0|0:12:27|2|1:08:12|0|-1|-1|
119|ringabel|14|1:18:25|0:07:23|0|0:35:55|0|1:18:25|0|-1|-1|
120|tharun_b|14|1:18:30|0:04:06|0|0:25:38|0|1:13:30|1|-1|-1|
121|iqjumps|14|1:18:47|1:08:47|0|0:15:23|1|1:00:21|1|-1|-1|
122|hliu94|14|1:18:49|0:03:45|0|1:18:49|0|0:34:47|0|-1|-1|
123|bhaveshm|14|1:18:50|0:01:26|0|1:03:50|1|0:48:42|2|-1|-1|
124|nickchu35|14|1:18:53|0:06:53|2|0:20:07|0|1:03:53|1|-1|-1|
125|xhuaoe|14|1:18:54|0:04:40|0|1:08:54|2|0:31:45|0|-1|-1|
126|sachin34|14|1:18:55|0:08:12|0|0:26:54|3|0:58:55|1|-1|-1|
127|Jim2015|14|1:19:27|0:03:41|0|0:33:31|0|1:14:27|1|-1|-1|
128|GarAlex|14|1:19:29|0:02:22|0|0:26:26|2|1:04:29|1|-1|-1|
129|riki_slark|14|1:19:49|0:02:52|0|1:04:49|2|0:53:40|1|-1|-1|
130|raychennju|14|1:19:59|0:01:52|0|0:28:18|4|0:59:59|0|-1|-1|
131|David2008|14|1:20:07|0:03:18|0|0:26:13|1|1:10:07|1|-1|-1|
132|kupe|14|1:20:25|0:05:34|0|0:16:40|2|1:05:25|1|-1|-1|
133|quynhtruong1304|14|1:20:37|0:03:07|0|0:19:37|0|1:15:37|1|-1|-1|
134|ydy_sophie|14|1:20:57|0:05:42|0|0:33:24|3|1:00:57|1|-1|-1|
135|gluino|14|1:21:20|0:02:10|0|1:11:20|1|0:54:06|1|-1|-1|
136|mostwanted7|14|1:21:24|0:02:17|0|0:21:12|3|1:01:24|1|-1|-1|
137|hc19|14|1:21:31|0:03:38|0|0:22:36|0|1:06:31|3|-1|-1|
138|tianhao2|14|1:22:20|0:06:33|0|0:23:09|1|1:12:20|1|-1|-1|
139|hahamty|14|1:22:32|0:03:37|0|0:20:30|0|1:17:32|1|-1|-1|
140|ckevinyu|14|1:22:42|0:08:45|0|0:40:21|0|1:17:42|1|-1|-1|
141|ZhengkaiWei|14|1:22:59|0:03:22|0|0:22:49|0|1:22:59|0|-1|-1|
142|neogamma|14|1:23:05|0:38:10|0|1:00:17|1|1:18:05|0|-1|-1|
143|scandium97|14|1:23:42|0:06:52|0|0:35:01|2|1:13:42|0|-1|-1|
144|JkyNcMeG2H86|14|1:23:45|1:07:16|0|1:20:47|0|1:23:45|0|-1|-1|
145|1nkling|14|1:24:13|0:03:31|0|0:15:11|2|1:09:13|1|-1|-1|
146|hangyesheng|14|1:24:35|0:05:15|0|0:36:12|1|1:14:35|1|-1|-1|
147|ssgg|14|1:24:38|0:02:20|0|0:40:28|4|1:04:38|0|-1|-1|
148|lixx2100|14|1:24:50|0:04:38|0|0:24:11|1|1:09:50|2|-1|-1|
149|sallyyao2001|14|1:25:02|0:07:14|0|0:29:08|1|1:20:02|0|-1|-1|
150|changhungjui|14|1:25:07|0:03:04|0|1:25:07|0|1:03:23|0|-1|-1|
151|blademamama|14|1:27:15|0:01:55|0|0:21:47|1|1:22:15|0|-1|-1|
152|johnsondu2|14|1:27:24|0:04:18|0|0:43:05|2|1:12:24|1|-1|-1|
153|emmazjh|14|1:27:25|0:09:02|0|0:33:59|0|1:27:25|0|-1|-1|
154|gkgrewa|14|1:27:42|0:03:16|0|0:24:35|0|1:22:42|1|-1|-1|
155|bluesword|14|1:27:47|0:06:52|0|0:29:41|3|1:02:47|2|-1|-1|
156|pyeprog|14|1:27:51|0:02:58|0|0:46:16|4|1:07:51|0|-1|-1|
157|Aimar88|14|1:28:04|0:02:19|0|0:31:12|0|1:28:04|0|-1|-1|
